stage_1,inline,0,1,2024-01-02T03:12:46-08:00,2024-01-02T03:12:46-08:00,55.426125ms
stage_3,inline,0,1,2024-01-02T03:12:46-08:00,2024-01-02T03:12:46-08:00,23.76725ms
stage_2,inline,0,1,2024-01-02T03:12:46-08:00,2024-01-02T03:12:46-08:00,25.169417ms
stage_3,/Users/ezhang/GitHub/presto-benchmark/benchmarks/test/stage_3_1.sql,0,6,2024-01-02T03:12:46-08:00,2024-01-02T03:12:46-08:00,33.729625ms
stage_3,/Users/ezhang/GitHub/presto-benchmark/benchmarks/test/stage_3_2.sql,0,2,2024-01-02T03:12:46-08:00,2024-01-02T03:12:46-08:00,33.92675ms
stage_3,/Users/ezhang/GitHub/presto-benchmark/benchmarks/test/stage_3_2.sql,1,3,2024-01-02T03:12:46-08:00,2024-01-02T03:12:46-08:00,112.337625ms
stage_4,inline,0,1,2024-01-02T03:12:46-08:00,2024-01-02T03:12:46-08:00,22.453708ms
stage_4,inline,1,1,2024-01-02T03:12:46-08:00,2024-01-02T03:12:46-08:00,23.74375ms
stage_4,/Users/ezhang/GitHub/presto-benchmark/benchmarks/test/stage_4.sql,0,0,2024-01-02T03:12:46-08:00,2024-01-02T03:12:46-08:00,14.44475ms
stage_4,/Users/ezhang/GitHub/presto-benchmark/benchmarks/test/stage_4.sql,1,1,2024-01-02T03:12:46-08:00,2024-01-02T03:12:46-08:00,23.329667ms
stage_5,inline,0,1,2024-01-02T03:12:46-08:00,2024-01-02T03:12:46-08:00,21.420459ms
stage_5,inline,1,1,2024-01-02T03:12:46-08:00,2024-01-02T03:12:46-08:00,22.709792ms
stage_5,/Users/ezhang/GitHub/presto-benchmark/benchmarks/test/stage_3_2.sql,0,2,2024-01-02T03:12:46-08:00,2024-01-02T03:12:46-08:00,22.72575ms
stage_5,/Users/ezhang/GitHub/presto-benchmark/benchmarks/test/stage_3_2.sql,1,3,2024-01-02T03:12:46-08:00,2024-01-02T03:12:46-08:00,111.818417ms
stage_6,/Users/ezhang/GitHub/presto-benchmark/benchmarks/test/stage_6.sql,0,0,2024-01-02T03:12:46-08:00,2024-01-02T03:12:46-08:00,14.316666ms
